Name,Position,Overall Rank,Positional Rank,Tier,Attribute,Auction Value
"Josh Allen","QB","1","1","1","","0"
"Lamar Jackson","QB","2","2","1","","0"
"Ja'Marr Chase","WR","3","1","1","","0"
"Jayden Daniels","QB","4","3","1","","0"
"Bijan Robinson","RB","5","1","1","","0"
"Justin Jefferson","WR","6","2","1","","0"
"Joe Burrow","QB","7","4","1","","0"
"Jahmyr Gibbs","RB","8","2","1","","0"
"Jalen Hurts","QB","9","5","1","","0"
"Saquon Barkley","RB","10","3","1","","0"
"CeeDee Lamb","WR","11","3","1","","0"
"Brock Bowers","TE","12","1","1","","0"
"Ashton Jeanty","RB","13","4","1","","0"
"Malik Nabers","WR","14","4","1","","0"
"Amon-Ra St. Brown","WR","15","5","1","","0"
"Puka Nacua","WR","16","6","1","","0"
"Patrick Mahomes","QB","17","6","1","","0"
"Christian McCaffrey","RB","18","5","1","","0"
"Trey McBride","TE","19","2","1","","0"
"Brian Thomas","WR","20","7","1","","0"
"Derrick Henry","RB","21","6","1","","0"
"Nico Collins","WR","22","8","1","","0"
"De'Von Achane","RB","23","7","1","","0"
"Drake London","WR","24","9","1","","0"
"Bucky Irving","RB","25","8","1","","0"
"Ladd McConkey","WR","26","10","1","","0"
"A.J. Brown","WR","27","11","1","","0"
"Jonathan Taylor","RB","28","9","1","","0"
"Josh Jacobs","RB","29","10","1","","0"
"Bo Nix","QB","30","7","1","","0"
"Baker Mayfield","QB","31","8","1","","0"
"Kyren Williams","RB","32","11","1","","0"
"Marvin Harrison","WR","33","12","1","","0"
"Jaxon Smith-Njigba","WR","34","13","1","","0"
"Breece Hall","RB","35","12","1","","0"
"Garrett Wilson","WR","36","14","1","","0"
"Chase Brown","RB","37","13","1","","0"
"George Kittle","TE","38","3","1","","0"
"Omarion Hampton","RB","39","14","1","","0"
"Justin Herbert","QB","40","9","1","","0"
"Tee Higgins","WR","41","15","1","","0"
"James Cook","RB","42","15","1","","0"
"Rashee Rice","WR","43","16","1","","0"
"Tyreek Hill","WR","44","17","1","","0"
"Terry McLaurin","WR","45","18","1","","0"
"Kyler Murray","QB","46","10","1","","0"
"Sam LaPorta","TE","47","4","1","","0"
"Caleb Williams","QB","48","11","1","","0"
"Alvin Kamara","RB","49","16","1","","0"
"Mike Evans","WR","50","19","1","","0"
"Brock Purdy","QB","51","12","1","","0"
"Drake Maye","QB","52","13","1","","0"
"Kenneth Walker","RB","53","17","1","","0"
"Jared Goff","QB","54","14","1","","0"
"Chuba Hubbard","RB","55","18","1","","0"
"Tetairoa McMillan","WR","56","20","1","","0"
"TreVeyon Henderson","RB","57","19","1","","0"
"C.J. Stroud","QB","58","15","1","","0"
"Davante Adams","WR","59","21","1","","0"
"Joe Mixon","RB","60","20","1","","0"
"DJ Moore","WR","61","22","1","","0"
"Dak Prescott","QB","62","16","1","","0"
"Travis Hunter","WR","63","23","1","","0"
"DeVonta Smith","WR","64","24","1","","0"
"RJ Harvey","RB","65","21","1","","0"
"DK Metcalf","WR","66","25","1","","0"
"Jordan Love","QB","67","17","1","","0"
"Xavier Worthy","WR","68","26","1","","0"
"James Conner","RB","69","22","1","","0"
"Quinshon Judkins","RB","70","23","1","","0"
"Justin Fields","QB","71","18","1","","0"
"T.J. Hockenson","TE","72","5","1","","0"
"J.J. McCarthy","QB","73","19","1","","0"
"Zay Flowers","WR","74","27","1","","0"
"Courtland Sutton","WR","75","28","1","","0"
"Trevor Lawrence","QB","76","20","1","","0"
"Jameson Williams","WR","77","29","1","","0"
"David Montgomery","RB","78","24","1","","0"
"George Pickens","WR","79","30","1","","0"
"Travis Kelce","TE","80","6","1","","0"
"Rome Odunze","WR","81","31","1","","0"
"Kaleb Johnson","RB","82","25","1","","0"
"Isiah Pacheco","RB","83","26","1","","0"
"D'Andre Swift","RB","84","27","1","","0"
"Chris Olave","WR","85","32","1","","0"
"Jordan Addison","WR","86","33","1","","0"
"Jaylen Waddle","WR","87","34","1","","0"
"Michael Penix","QB","88","21","1","","0"
"Tyler Warren","TE","89","7","1","","0"
"Aaron Jones","RB","90","28","1","","0"
"Jerry Jeudy","WR","91","35","1","","0"
"Mark Andrews","TE","92","8","1","","0"
"Cam Ward","QB","93","22","1","","0"
"Tony Pollard","RB","94","29","1","","0"
"Calvin Ridley","WR","95","36","1","","0"
"Bryce Young","QB","96","23","1","","0"
"Chris Godwin","WR","97","37","1","","0"
"Tua Tagovailoa","QB","98","24","1","","0"
"Brian Robinson","RB","99","30","1","","0"
"Evan Engram","TE","100","9","1","","0"
"Travis Etienne","RB","101","31","1","","0"
"Matthew Stafford","QB","102","25","1","","0"
"Tyrone Tracy","RB","103","32","1","","0"
"Jakobi Meyers","WR","104","38","1","","0"
"Ricky Pearsall","WR","105","39","1","","0"
"Jonnu Smith","TE","106","10","1","","0"
"Colston Loveland","TE","107","11","1","","0"
"David Njoku","TE","108","12","1","","0"
"Matthew Golden","WR","109","40","1","","0"
"Deebo Samuel","WR","110","41","1","","0"
"Jauan Jennings","WR","111","42","1","","0"
"Geno Smith","QB","112","26","1","","0"
"Jaylen Warren","RB","113","33","1","","0"
"Sam Darnold","QB","114","27","1","","0"
"Cam Skattebo","RB","115","34","1","","0"
"Khalil Shakir","WR","116","43","1","","0"
"Jayden Reed","WR","117","44","1","","0"
"Cooper Kupp","WR","118","45","1","","0"
"Dalton Kincaid","TE","119","13","1","","0"
"Emeka Egbuka","WR","120","46","1","","0"
"Brandon Aiyuk","WR","121","47","1","","0"
"Stefon Diggs","WR","122","48","1","","0"
"Tucker Kraft","TE","123","14","1","","0"
"Anthony Richardson","QB","124","28","1","","0"
"Josh Downs","WR","125","49","1","","0"
"Najee Harris","RB","126","35","1","","0"
"Zach Charbonnet","RB","127","36","1","","0"
"Javonte Williams","RB","128","37","1","","0"
"Jordan Mason","RB","129","38","1","","0"
"Jake Ferguson","TE","130","15","1","","0"
"Kyle Pitts","TE","131","16","1","","0"
"Aaron Rodgers","QB","132","29","1","","0"
"Jayden Higgins","WR","133","50","1","","0"
"Dallas Goedert","TE","134","17","1","","0"
"Rhamondre Stevenson","RB","135","39","1","","0"
"Michael Pittman","WR","136","51","1","","0"
"Darnell Mooney","WR","137","52","1","","0"
"Tre Harris","WR","138","53","1","","0"
"Luther Burden","WR","139","54","1","","0"
"Keon Coleman","WR","140","55","1","","0"
"Tyjae Spears","RB","141","40","1","","0"
"Russell Wilson","QB","142","30","1","","0"
"Trey Benson","RB","143","41","1","","0"
"Jaydon Blue","RB","144","42","1","","0"
"J.K. Dobbins","RB","145","43","1","","0"
"Rashid Shaheed","WR","146","56","1","","0"
"Isaiah Likely","TE","147","18","1","","0"
"Marvin Mims","WR","148","57","1","","0"
"Rachaad White","RB","149","44","1","","0"
"Tyler Shough","QB","150","31","1","","0"
"Bhayshul Tuten","RB","151","45","1","","0"
"Zach Ertz","TE","152","19","1","","0"
"Kyle Williams","WR","153","58","1","","0"
"Hunter Henry","TE","154","20","1","","0"
"Tank Bigsby","RB","155","46","1","","0"
"Jack Bech","WR","156","59","1","","0"
"Isaac Guerendo","RB","157","47","1","","0"
"Rashod Bateman","WR","158","60","1","","0"
"Christian Kirk","WR","159","61","1","","0"
"Pat Freiermuth","TE","160","21","1","","0"
"Ray Davis","RB","161","48","1","","0"
"Brenton Strange","TE","162","22","1","","0"
"Austin Ekeler","RB","163","49","1","","0"
"Jaxson Dart","QB","164","32","1","","0"
"Mike Gesicki","TE","165","23","1","","0"
"Mason Taylor","TE","166","24","1","","0"
"Tyler Allgeier","RB","167","50","1","","0"
"Cade Otton","TE","168","25","1","","0"
"Jalen McMillan","WR","169","62","1","","0"
"Hollywood Brown","WR","170","63","1","","0"
"Dylan Sampson","RB","171","51","1","","0"
"Nick Chubb","RB","172","52","1","","0"
"Cedric Tillman","WR","173","64","1","","0"
"Wan'Dale Robinson","WR","174","65","1","","0"
"Xavier Legette","WR","175","66","1","","0"
"Adam Thielen","WR","176","67","1","","0"
"Rico Dowdle","RB","177","53","1","","0"
"Braelon Allen","RB","178","54","1","","0"
"Jaylen Wright","RB","179","55","1","","0"
"Jerome Ford","RB","180","56","1","","0"
"Daniel Jones","QB","181","33","1","","0"
"Joe Flacco","QB","182","34","1","","0"
"Quentin Johnston","WR","183","68","1","","0"
"Chig Okonkwo","TE","184","26","1","","0"
"Joshua Palmer","WR","185","69","1","","0"
"DeMario Douglas","WR","186","70","1","","0"
"Shedeur Sanders","QB","187","35","1","","0"
"Dalton Schultz","TE","188","27","1","","0"
"Roschon Johnson","RB","189","57","1","","0"
"Pat Bryant","WR","190","71","1","","0"
"Ja'Tavion Sanders","TE","191","28","1","","0"
"Devin Neal","RB","192","58","1","","0"
"Romeo Doubs","WR","193","72","1","","0"
"Elijah Arroyo","TE","194","29","1","","0"
"Alec Pierce","WR","195","73","1","","0"
"Justice Hill","RB","196","59","1","","0"
"Jaylin Noel","WR","197","74","1","","0"
"Blake Corum","RB","198","60","1","","0"
"Terrance Ferguson","TE","199","30","1","","0"
"Kareem Hunt","RB","200","61","1","","0"
"Theo Johnson","TE","201","31","1","","0"
"Jalen Milroe","QB","202","36","1","","0"
"DeAndre Hopkins","WR","203","75","1","","0"
"DJ Giddens","RB","204","62","1","","0"
"Keenan Allen","WR","205","76","1","","0"
"Cole Kmet","TE","206","32","1","","0"
"Jalen Coker","WR","207","77","1","","0"
"Jarquez Hunter","RB","208","63","1","","0"
"Jalen Royals","WR","209","78","1","","0"
"MarShawn Lloyd","RB","210","64","1","","0"
"Ollie Gordon","RB","211","65","1","","0"
"Darren Waller","TE","212","33","1","","0"
"Dont'e Thornton","WR","213","79","1","","0"
"Juwan Johnson","TE","214","34","1","","0"
"Miles Sanders","RB","215","66","1","","0"
"Michael Wilson","WR","216","80","1","","0"
"Calvin Austin","WR","217","81","1","","0"
"Tyler Lockett","WR","218","82","1","","0"
"Jacory Croskey-Merritt","RB","219","67","1","","0"
"Will Shipley","RB","220","68","1","","0"
"Brashard Smith","RB","221","69","1","","0"
"Noah Gray","TE","222","35","1","","0"
"Elic Ayomanor","WR","223","83","1","","0"
"Kirk Cousins","QB","224","37","1","","0"
"Dyami Brown","WR","225","84","1","","0"
