Name,Position,Overall Rank,Positional Rank,Tier,Attribute,Auction Value
"Josh Allen","QB","1","1","1","crown","0"
"Lamar Jackson","QB","2","2","1","crown","0"
"Jayden Daniels","QB","3","3","1","crown","0"
"Jalen Hurts","QB","4","4","1","crown","0"
"Ja'Marr Chase","WR","5","1","2","target","0"
"Bijan Robinson","RB","6","1","2","target","0"
"Saquon Barkley","RB","7","2","2","x","0"
"Jahmyr Gibbs","RB","8","3","2","fire","0"
"Justin Jefferson","WR","9","2","2","checkmark","0"
"CeeDee Lamb","WR","10","3","2","target","0"
"Joe Burrow","QB","11","5","2","x","0"
"De'Von Achane","RB","12","4","3","target","0"
"Christian McCaffrey","RB","13","5","3","","0"
"Nico Collins","WR","14","4","3","target","0"
"Puka Nacua","WR","15","5","3","","0"
"Drake London","WR","16","6","4","target","0"
"Amon-Ra St. Brown","WR","17","7","4","","0"
"Ashton Jeanty","RB","18","6","4","rocket","0"
"Malik Nabers","WR","19","8","4","target","0"
"Brian Thomas","WR","20","9","4","","0"
"A.J. Brown","WR","21","10","4","target","0"
"Derrick Henry","RB","22","7","4","","0"
"Patrick Mahomes","QB","23","6","4","","0"
"Brock Bowers","TE","24","1","5","x","0"
"Ladd McConkey","WR","25","11","5","","0"
"Justin Fields","QB","26","7","5","target","0"
"Bo Nix","QB","27","8","5","target","0"
"Kyler Murray","QB","28","9","5","","0"
"Caleb Williams","QB","29","10","5","target","0"
"Baker Mayfield","QB","30","11","5","","0"
"Chase Brown","RB","31","8","6","target","0"
"Bucky Irving","RB","32","9","6","","0"
"Jonathan Taylor","RB","33","10","7","","0"
"Brock Purdy","QB","34","12","7","","0"
"Drake Maye","QB","35","13","7","target","0"
"Dak Prescott","QB","36","14","7","target","0"
"Justin Herbert","QB","37","15","7","","0"
"Josh Jacobs","RB","38","11","7","target","0"
"Trey McBride","TE","39","2","7","target","0"
"Trevor Lawrence","QB","40","16","7","target","0"
"J.J. McCarthy","QB","41","17","7","","0"
"Jordan Love","QB","42","18","7","","0"
"Jared Goff","QB","43","19","7","x","0"
"Tyreek Hill","WR","44","12","7","target","0"
"Tee Higgins","WR","45","13","8","","0"
"Davante Adams","WR","46","14","8","target","0"
"Jaxon Smith-Njigba","WR","47","15","8","","0"
"Omarion Hampton","RB","48","12","8","","0"
"C.J. Stroud","QB","49","20","8","target","0"
"Bryce Young","QB","50","21","8","target","0"
"Garrett Wilson","WR","51","16","8","","0"
"Breece Hall","RB","52","13","9","","0"
"Kyren Williams","RB","53","14","9","","0"
"Kenneth Walker","RB","54","15","10","target","0"
"James Cook","RB","55","16","10","","0"
"George Kittle","TE","56","3","10","target","0"
"Mike Evans","WR","57","17","10","target","0"
"Michael Penix","QB","58","22","10","","0"
"Tua Tagovailoa","QB","59","23","10","","0"
"Marvin Harrison","WR","60","18","10","","0"
"Alvin Kamara","RB","61","17","10","","0"
"Xavier Worthy","WR","62","19","10","","0"
"DeVonta Smith","WR","63","20","11","target","0"
"Terry McLaurin","WR","64","21","11","","0"
"James Conner","RB","65","18","11","target","0"
"DK Metcalf","WR","66","22","11","target","0"
"Tetairoa McMillan","WR","67","23","11","target","0"
"Jameson Williams","WR","68","24","12","","0"
"Cam Ward","QB","69","24","12","","0"
"Geno Smith","QB","70","25","12","target","0"
"Aaron Rodgers","QB","71","26","12","","0"
"Matthew Stafford","QB","72","27","12","null","0"
"Anthony Richardson","QB","73","28","12","","0"
"DJ Moore","WR","74","25","12","","0"
"George Pickens","WR","75","26","12","","0"
"Chuba Hubbard","RB","76","19","12","","0"
"Courtland Sutton","WR","77","27","12","","0"
"RJ Harvey","RB","78","20","12","target","0"
"TreVeyon Henderson","RB","79","21","12","target","0"
"Calvin Ridley","WR","80","28","12","","0"
"Jaylen Waddle","WR","81","29","12","","0"
