Player,PositionType,PosRank,ProjectedSeasonPoints
Josh Allen,QB,QB1,347
Lamar Jackson,QB,QB2,347
Jalen Hurts,QB,QB3,330
Jayden Daniels,QB,QB4,328
Patrick Mahomes II,QB,QB5,301
Joe Burrow,QB,QB6,314
Kyler Murray,QB,QB7,296
Baker Mayfield,QB,QB8,292
Bo Nix,QB,QB9,285
Brock Purdy,QB,QB10,284
Jared Goff,QB,QB11,264
Dak Prescott,QB,QB12,262
J.J. McCarthy,QB,QB13,265
C.J. Stroud,QB,QB14,260
Jordan Love,QB,QB15,256
Justin Herbert,QB,QB16,269
Caleb Williams,QB,QB17,261
Cameron Ward,QB,QB18,247
Justin Fields,QB,QB19,275
Drake Maye,QB,QB20,249
Trevor Lawrence,QB,QB21,249
Michael Penix Jr.,QB,QB22,238
Tua Tagovailoa,QB,QB23,243
Matthew Stafford,QB,QB24,247
Geno Smith,QB,QB25,237
Sam Darnold,QB,QB26,231
Bryce Young,QB,QB27,230
Tyler Shough,QB,QB28,174
Anthony Richardson Sr.,QB,QB29,206
Russell Wilson,QB,QB30,181
Aaron Rodgers,QB,QB31,215
Joe Flacco,QB,QB32,116
Jaxson Dart,QB,QB33,64
Dillon Gabriel,QB,QB34,34
Daniel Jones,QB,QB35,89
Shedeur Sanders,QB,QB36,26
Jalen Milroe,QB,QB37,26
Spencer Rattler,QB,QB38,75
Kenny Pickett,QB,QB39,61
Quinn Ewers,QB,QB40,7
Saquon Barkley,RB,RB1,297
Bijan Robinson,RB,RB2,298
Jahmyr Gibbs,RB,RB3,299
Derrick Henry,RB,RB4,244
De'Von Achane,RB,RB5,272
Ashton Jeanty,RB,RB6,248
Christian McCaffrey,RB,RB7,279
Josh Jacobs,RB,RB8,249
Jonathan Taylor,RB,RB9,230
Bucky Irving,RB,RB10,231
Chase Brown,RB,RB11,229
James Cook,RB,RB12,213
Kyren Williams,RB,RB13,232
Breece Hall,RB,RB14,219
Kenneth Walker III,RB,RB15,210
Omarion Hampton,RB,RB16,203
Alvin Kamara,RB,RB17,228
Chuba Hubbard,RB,RB18,200
James Conner,RB,RB19,214
D'Andre Swift,RB,RB20,188
Aaron Jones Sr.,RB,RB21,195
Tony Pollard,RB,RB22,177
Joe Mixon,RB,RB23,180
TreVeyon Henderson,RB,RB24,178
RJ Harvey,RB,RB25,167
David Montgomery,RB,RB26,181
Kaleb Johnson,RB,RB27,159
Brian Robinson Jr.,RB,RB28,156
Jaylen Warren,RB,RB29,168
Tyrone Tracy Jr.,RB,RB30,154
Isiah Pacheco,RB,RB31,170
Austin Ekeler,RB,RB32,144
Javonte Williams,RB,RB33,145
Rhamondre Stevenson,RB,RB34,133
Travis Etienne Jr.,RB,RB35,140
Cam Skattebo,RB,RB36,132
Jordan Mason,RB,RB37,123
Zach Charbonnet,RB,RB38,131
Tyjae Spears,RB,RB39,128
Tank Bigsby,RB,RB40,118
Najee Harris,RB,RB41,124
J.K. Dobbins,RB,RB42,147
Dylan Sampson,RB,RB43,104
Quinshon Judkins,RB,RB44,111
Bhayshul Tuten,RB,RB45,82
Rachaad White,RB,RB46,126
Jerome Ford,RB,RB47,118
Jaydon Blue,RB,RB48,93
Trey Benson,RB,RB49,103
Ray Davis,RB,RB50,92
Woody Marks,RB,RB51,72
Rico Dowdle,RB,RB52,97
Isaac Guerendo,RB,RB53,89
Tyler Allgeier,RB,RB54,89
Roschon Johnson,RB,RB55,92
MarShawn Lloyd,RB,RB56,81
Trevor Etienne,RB,RB57,46
Jarquez Hunter,RB,RB58,50
Jaylen Wright,RB,RB59,80
Nick Chubb,RB,RB60,86
Blake Corum,RB,RB61,67
Kendre Miller,RB,RB62,74
Tahj Brooks,RB,RB63,43
Braelon Allen,RB,RB64,78
Samaje Perine,RB,RB65,71
Kyle Monangai,RB,RB66,38
Devin Neal,RB,RB67,40
Justice Hill,RB,RB68,80
